x,y,Habitat,JunJul,DJF,AprMay
5059.,5233.,Co,10.952,-11.539,1.6864
5167.,4865.,Co,13.265,-10.337,3.158085
4895.,4415.,Ma,14.729,-3.4302,5.577
5269.,4715.,Co,14.344,-9.4544,4.55689
5235.,4709.,Co,14.336,-9.2127,4.63135
5325.,4365.,Br,15.886,-6.2681,6.53215
5245.,4457.,Br,15.917,-6.919,6.63745
5121.,4201.,Br,16.256,-4.1273,7.48825
4985.,4233.,Co,16.17,-3.1321,7.3996
5305.,4349.,Urb,16.267,-6.0057,6.52185
4953.,5123.,We,11.157,-11.473,1.42
4929.,4483.,Urb,15.208,-4.4559,6.3452
5021.,5247.,We,10.857,-11.879,1.42605
4871.,5117.,Op,10.631,-12.039,0.23215
5169.,4907.,Co,13.123,-10.434,2.94643
5189.,4925.,Co,12.881,-11.176,2.72823
5289.,4411.,Br,16.439,-6.304,6.82945
5131.,4505.,We,15.39,-6.9835,6.32835
5107.,4913.,Co,12.99,-10.212,3.07637
5153.,4677.,We,14.774,-8.2468,5.413
5251.,4393.,Co,16.266,-6.333,6.9989
5049.,4719.,Urb,14.69,-7.0608,5.32115
5053.,4293.,Urb,15.861,-4.8099,7.3409
5011.,4491.,Co,14.937,-6.1754,6.31275
5117.,4195.,Urb,16.194,-3.1537,7.1795
5085.,4265.,Co,15.801,-4.8256,7.2553
5259.,4437.,Br,15.793,-6.8114,6.6775
4995.,4403.,Co,14.871,-5.493,6.3441
